id,x,y,z,r
290,-32483,-69953,133.0,2.9
291,-32332,-70612,94.0,4.3
292,-33405,-70612,81.9,2.6
293,-34777,-70434,132.6,2.9
294,-31446,-69458,207.0,3.8
295,-32417,-71421,40.0,4.5
296,-31320,-70054,187.7,3.7
297,-35173,-71214,87.1,3.2
298,-31735,-70173,138.7,2.9
299,-32951,-71707,35.3,3.0
300,-31255,-71579,29.7,3.5
301,-31462,-69844,166.4,4.2
302,-32820,-71468,34.7,3.4
303,-31971,-71589,41.2,3.4
304,-32694,-70207,119.7,3.6
305,-34268,-72125,23.5,3.6
306,-34493,-70795,93.1,2.7
307,-32063,-70030,129.6,3.5
308,-32066,-71679,38.5,3.8
309,-31574,-69746,214.3,3.9
310,-33000,-72164,14.2,3.3
311,-33045,-72156,14.5,3.8
312,-35205,-71656,34.6,3.5
313,-33313,-72469,31.9,3.5
314,-31132,-72226,17.1,4.2
315,-32538,-72098,31.3,3.7
316,-33021,-72126,15.0,3.5
317,-33556,-70073,7.5,3.1
318,-32750,-70808,72.3,2.5
319,-33465,-70108,10.1,3.4
320,-32041,-69790,145.4,3.4
321,-31737,-71071,106.8,3.5
322,-31231,-70184,102.0,3.2
323,-30268,-71525,35.6,3.8
324,-32137,-71075,83.7,3.0
325,-29205,-68926,339.2,4.2
326,-33478,-70423,95.5,2.9
327,-33103,-71275,40.9,3.3
328,-32391,-71772,11.7,4.1
329,-32483,-71638,0.2,3.7
330,-32411,-71733,14.5,3.8
331,-32202,-71645,35.8,4.1
332,-32400,-71546,45.2,4.2
333,-33792,-70138,123.4,2.5
334,-33901,-70797,80.7,3.1
335,-34363,-70246,8.2,3.0
336,-32008,-71332,26.1,3.5
337,-31860,-70263,124.9,2.8
338,-34068,-70383,9.7,3.9
339,-33652,-70403,105.2,2.9
340,-31963,-71288,71.1,4.0
341,-36331,-72140,69.1,4.0
342,-33799,-71412,45.8,3.1
343,-33807,-71412,47.2,2.9
344,-33783,-71412,42.3,3.6
345,-33813,-71400,45.7,2.9
346,-33807,-71407,45.5,2.9
347,-33811,-71412,46.0,2.8
348,-33806,-71402,46.8,3.1
349,-33796,-71400,46.8,3.6
350,-33825,-71406,47.0,3.1
351,-33822,-71414,45.1,2.9
352,-36361,-72082,69.3,3.2
353,-33369,-72787,32.5,3.8
354,-32248,-71549,5.3,3.6
355,-31572,-71431,29.8,4.0
356,-33996,-70307,105.5,2.5
357,-33354,-71680,25.7,3.4
358,-32052,-71017,78.3,3.3
359,-32069,-70759,107.1,3.3
360,-35604,-70504,193.0,3.5
361,-33748,-70397,105.7,3.3
362,-35210,-71569,54.5,4.0
363,-31710,-69713,161.4,3.7
364,-32887,-70259,109.7,2.5
365,-30798,-71619,46.6,4.2
366,-27640,-70789,58.8,4.7
367,-33429,-70477,93.2,2.6
368,-31407,-71980,47.1,4.2
369,-31895,-70285,125.9,3.0
370,-31704,-69938,135.8,3.2
371,-31996,-70447,115.9,2.6
372,-33770,-70861,72.4,2.5
373,-34042,-68520,16.8,3.4
374,-33197,-70215,107.8,4.1
375,-31787,-72011,23.3,4.4
376,-35223,-70467,169.4,3.6
377,-35951,-71173,120.0,3.0
378,-31694,-71897,32.1,4.2
379,-33518,-70852,73.1,2.6
380,-31714,-71926,33.6,4.0
381,-31211,-69296,218.3,3.5
382,-31836,-71948,29.7,3.9
383,-32754,-71695,19.0,4.1
384,-32457,-69957,130.6,3.3
385,-31916,-71139,65.5,3.1
386,-33022,-70292,107.0,2.7
387,-33188,-70441,94.5,2.6
388,-31415,-69878,160.5,4.2
389,-37286,-72421,74.4,3.6
390,-31104,-71451,39.4,4.3
391,-31843,-70416,114.8,4.0
392,-31060,-71331,50.6,4.6
393,-31799,-71912,28.1,4.0
394,-30819,-71173,47.5,4.0
395,-37684,-71701,94.8,3.7
396,-34360,-70207,7.2,3.9
397,-33964,-72263,23.4,3.8
398,-34397,-73269,23.3,3.7
399,-32494,-70222,104.7,4.6
400,-32020,-70594,117.8,3.3
401,-34650,-71087,88.6,3.3
402,-32042,-71178,71.5,3.4
403,-35060,-69930,23.9,3.8
404,-32296,-71544,40.9,3.7
405,-31087,-71749,36.3,4.2
406,-30408,-71440,35.5,4.5
407,-32676,-70099,116.2,3.8
408,-32597,-71874,20.8,4.0
409,-35372,-71178,116.3,3.0
410,-34071,-70098,6.6,3.7
411,-33392,-70416,96.1,2.8
412,-33402,-68598,11.9,4.3
413,-31734,-71842,23.6,4.3
414,-32174,-69927,138.0,3.8
415,-34616,-70759,98.6,2.9
416,-33028,-72018,8.3,3.4
417,-34275,-70017,3.5,3.3
418,-32353,-71543,29.7,3.9
419,-31292,-69292,201.2,3.7
420,-34657,-72387,25.6,3.9
421,-33903,-70705,81.5,3.3
422,-34244,-72259,38.9,4.0
423,-34609,-70681,112.7,2.9
424,-32990,-70439,96.2,3.1
425,-34539,-70964,90.7,4.1
426,-29217,-70998,33.4,4.6
427,-32367,-71560,39.0,3.6
428,-33561,-71609,38.5,3.8
429,-31455,-71374,49.1,4.0
430,-35458,-71449,44.3,3.8
431,-33023,-72043,10.5,3.5
432,-33023,-72005,14.9,3.5
433,-34401,-71174,150.0,2.5
434,-31892,-68867,173.7,3.6
435,-29757,-71251,36.5,4.3
436,-31611,-69703,192.3,3.9
437,-32222,-69953,142.5,2.7
438,-32338,-70533,101.4,2.6
439,-33039,-70149,106.3,2.5
440,-32625,-71641,7.2,3.7
441,-32775,-71729,15.9,3.4
442,-33481,-70824,71.2,3.6
443,-33676,-72478,4.6,4.5
444,-31973,-70690,115.6,3.8
445,-32861,-68547,20.0,3.9
446,-35055,-70559,15.3,3.9
447,-34483,-70777,101.0,3.4
448,-30422,-72018,25.4,4.6
449,-33019,-70399,5.4,3.1
450,-33446,-69960,7.2,3.8
451,-34443,-70468,124.5,2.9
452,-34741,-71767,40.0,4.4
453,-31258,-69429,148.4,3.9
454,-31343,-69468,225.4,3.6
455,-31802,-70246,121.6,3.9
456,-32697,-71842,6.8,3.9
457,-33612,-70380,100.1,3.5
458,-32292,-71603,7.0,3.6
459,-32171,-69773,144.2,3.1
460,-32531,-71684,14.7,3.7
461,-32230,-69909,139.2,2.7
462,-32542,-71479,14.8,3.5
463,-33918,-70391,115.2,6.0
464,-33941,-70397,108.3,2.6
465,-33494,-72063,47.5,3.9
466,-33912,-70361,109.0,2.6
467,-33939,-70425,109.4,3.3
468,-33887,-70434,111.0,2.5
469,-33900,-70405,110.3,2.5
470,-33896,-70351,109.7,3.1
471,-33897,-70441,109.2,2.8
472,-32917,-70244,111.4,2.5
473,-32971,-70547,88.9,3.0
474,-33883,-70408,109.3,3.3
475,-33935,-70427,113.0,2.5
476,-33014,-70850,76.3,2.8
477,-32173,-69060,0.2,4.1
478,-32926,-70422,92.6,2.5
479,-32767,-71753,14.3,4.0
480,-29228,-68549,217.8,4.8
481,-35420,-71636,89.3,3.0
482,-33899,-70249,110.3,2.8
483,-29273,-71718,22.2,4.3
484,-33415,-70183,110.0,2.5
485,-39396,-72163,88.2,4.1
486,-33896,-70346,111.1,2.5
487,-32692,-70829,85.4,2.5
488,-32611,-71747,14.9,3.8
489,-34336,-70654,108.7,2.5
490,-32564,-71743,15.0,3.8
491,-32919,-70186,112.9,3.8
492,-33089,-72077,6.2,3.6
493,-33606,-70415,95.4,3.0
494,-32590,-71964,23.4,3.6
495,-35336,-72624,23.8,3.7
496,-33778,-72013,30.4,3.5
497,-33326,-71247,48.9,3.8
498,-33102,-70685,28.9,3.8
499,-32774,-71561,47.6,3.5
500,-32197,-71870,13.8,4.1
501,-32227,-71790,11.9,4.0
502,-32188,-71808,14.8,3.9
503,-35131,-70314,14.1,4.2
504,-33254,-72241,14.6,3.3
505,-32107,-71971,21.6,4.7
506,-32436,-71444,46.1,3.3
507,-35252,-72736,14.3,3.8
508,-35375,-72633,14.6,4.2
509,-32517,-71755,11.2,4.6
510,-35425,-70716,11.6,3.7
511,-32528,-71571,15.0,3.9
512,-30232,-71530,51.0,4.3
513,-32004,-71552,40.3,4.0
514,-32174,-72081,36.1,4.0
515,-31726,-70413,123.9,3.5
516,-32108,-71970,28.9,4.1
517,-32632,-71274,93.8,3.0
518,-33703,-70248,121.7,2.6
519,-34304,-70193,6.9,4.0
520,-34280,-70209,5.0,4.3
521,-33414,-71324,45.3,4.2
522,-32323,-72174,15.3,4.3
523,-34150,-70551,100.3,2.8
524,-33492,-71340,42.5,3.1
525,-32166,-72099,21.6,3.9
526,-34246,-70266,2.9,3.7
527,-34342,-70193,14.7,3.7
528,-31870,-72312,27.0,4.0
529,-33461,-71868,2.2,3.7
530,-32773,-70880,69.5,3.0
531,-31933,-70249,151.7,3.9
532,-33911,-70399,112.0,2.9
533,-30804,-71736,24.5,4.8
534,-30795,-71724,24.9,4.3
535,-30638,-71391,55.3,4.0
536,-28059,-68067,368.7,4.9
537,-32957,-70442,100.3,2.8
538,-29277,-71507,63.7,4.7
539,-34032,-72119,50.2,4.4
540,-30776,-71851,24.1,4.8
541,-31447,-70778,124.4,4.2
542,-34245,-71902,48.3,4.9
543,-33701,-70416,11.0,3.8
544,-32291,-72757,41.8,3.8
545,-32693,-71541,27.6,3.5
546,-33796,-70500,88.9,3.5
547,-32011,-70582,129.2,3.9
548,-32834,-71805,10.2,3.7
549,-33530,-71946,45.2,4.1
550,-30992,-71886,17.9,4.1
551,-30911,-71876,39.0,4.2
552,-33000,-72316,4.8,3.6
553,-32613,-71487,51.7,3.6
554,-33104,-70442,116.7,2.7
555,-32674,-71868,28.7,3.6
556,-31076,-71774,16.5,4.3
557,-30501,-71559,65.4,4.0
558,-32208,-71781,26.7,3.8
559,-31082,-71998,31.9,4.8
560,-31918,-71503,37.8,4.3
561,-27890,-67925,362.6,4.2
562,-33866,-70690,79.8,2.9
563,-29256,-67790,289.2,4.1
564,-32644,-71858,27.0,4.0
565,-31979,-71326,80.8,3.2
566,-32768,-69003,207.2,3.5
567,-37257,-74213,29.5,4.8
